OBJECTID,DATE,ID,DAY_MAX_OZONE,DAILY_AQI_VALUE,SITE_NAME,DAILY_OBS_COUNT,PERCENT_COMPLETE,CBSA_CODE,CBSA_NAME,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
319,2020-03-04 0:00:00,60010011,0.032,30,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
320,2020-03-05 0:00:00,60010011,0.036,33,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
321,2020-03-06 0:00:00,60010011,0.036,33,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
322,2020-03-07 0:00:00,60010011,0.037,34,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
323,2020-03-08 0:00:00,60010011,0.04,37,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
324,2020-03-09 0:00:00,60010011,0.038,35,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
325,2020-03-10 0:00:00,60010011,0.031,29,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
326,2020-03-11 0:00:00,60010011,0.033,31,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
327,2020-03-12 0:00:00,60010011,0.025,23,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
328,2020-03-13 0:00:00,60010011,0.038,35,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
329,2020-03-14 0:00:00,60010011,0.039,36,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
330,2020-03-15 0:00:00,60010011,0.044,41,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
331,2020-03-16 0:00:00,60010011,0.041,38,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
332,2020-03-17 0:00:00,60010011,0.039,36,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
333,2020-03-18 0:00:00,60010011,0.039,36,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
334,2020-03-19 0:00:00,60010011,0.037,34,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
335,2020-03-20 0:00:00,60010011,0.038,35,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
336,2020-03-21 0:00:00,60010011,0.041,38,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
337,2020-03-22 0:00:00,60010011,0.038,35,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
338,2020-03-23 0:00:00,60010011,0.042,39,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
339,2020-03-24 0:00:00,60010011,0.041,38,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
340,2020-03-25 0:00:00,60010011,0.041,38,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
341,2020-03-26 0:00:00,60010011,0.036,33,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
342,2020-03-27 0:00:00,60010011,0.049,45,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
343,2020-03-28 0:00:00,60010011,0.046,43,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
344,2020-03-29 0:00:00,60010011,0.043,40,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
345,2020-03-30 0:00:00,60010011,0.033,31,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
346,2020-03-31 0:00:00,60010011,0.033,31,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
347,2020-04-01 0:00:00,60010011,0.038,35,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
348,2020-04-02 0:00:00,60010011,0.032,30,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
349,2020-04-03 0:00:00,60010011,0.032,30,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
350,2020-04-04 0:00:00,60010011,0.032,30,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
351,2020-04-05 0:00:00,60010011,0.038,35,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
352,2020-04-06 0:00:00,60010011,0.034,31,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
353,2020-04-07 0:00:00,60010011,0.038,35,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
354,2020-04-08 0:00:00,60010011,0.035,32,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
355,2020-04-09 0:00:00,60010011,0.033,31,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
356,2020-04-10 0:00:00,60010011,0.037,34,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
357,2020-04-11 0:00:00,60010011,0.036,33,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
358,2020-04-12 0:00:00,60010011,0.04,37,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
359,2020-04-13 0:00:00,60010011,0.042,39,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
360,2020-04-14 0:00:00,60010011,0.042,39,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
361,2020-04-15 0:00:00,60010011,0.036,33,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
362,2020-04-16 0:00:00,60010011,0.029,27,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
363,2020-04-17 0:00:00,60010011,0.039,36,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
364,2020-04-18 0:00:00,60010011,0.043,40,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
365,2020-04-19 0:00:00,60010011,0.042,39,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
366,2020-04-20 0:00:00,60010011,0.039,36,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
367,2020-04-21 0:00:00,60010011,0.031,29,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
368,2020-04-22 0:00:00,60010011,0.031,29,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
369,2020-04-23 0:00:00,60010011,0.032,30,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
370,2020-04-24 0:00:00,60010011,0.031,29,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
371,2020-04-25 0:00:00,60010011,0.023,21,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
372,2020-04-26 0:00:00,60010011,0.032,30,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
373,2020-04-27 0:00:00,60010011,0.031,29,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
374,2020-04-28 0:00:00,60010011,0.024,22,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
375,2020-04-30 0:00:00,60010011,0.037,34,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
442,2020-03-01 0:00:00,60010013,0.04,37,Berkeley Aquatic Park,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.864767,-122.302741
443,2020-03-02 0:00:00,60010013,0.039,36,Berkeley Aquatic Park,18,75,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.864767,-122.302741
444,2020-03-03 0:00:00,60010013,0.025,23,Berkeley Aquatic Park,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.864767,-122.302741
445,2020-03-05 0:00:00,60010013,0.034,31,Berkeley Aquatic Park,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.864767,-122.302741
